type,lat,lon,name,amenity
education_school,47.9208779,106.9024211,Зуун билэг дунд сургууль,school
education_school,47.9165883,106.9077498,I Top Edu,school
education_school,47.9283633,106.925287,Чой Лувсанжавын нэрэмжит сургууль,school
education_school,47.9179071,106.9026743,Олонлог,school
education_school,47.9294211,106.9200776,,school
education_school,47.9136374,106.8956266,Classic piano batlet school,school
multipolygon,47.9239875,106.9455997,97-р сургууль,school
education_school,47.9209016,106.926656,Билиг дээд сургууль,school
education_school,47.9271405,106.9197235,"'X, Roses уран нугаралтын төв",school
education_school,47.9279396,106.9244977,Гёте Cургууль,school
education_school,47.9152146,106.8979918,11-р сургууль,school
education_school,47.9207204,106.88859,22-р сургууль,school
education_school,47.9113793,106.9089065,,school
education_school,47.9252205,106.8919421,Монголын Үндэсний Их Сургууль,school
education_school,47.9216339,106.9191203,,school
education_school,47.9163088,106.985297,68-р сургууль,school
education_school,47.9244172,106.9401542,Билгүүн номч дунд сургууль,school
education_school,47.9152492,106.8978104,,school
education_school,47.9088144,106.9081306,Сакура сургууль,school
education_school,47.9244008,106.9081806,Цахим эрин бүрэн дунд сургууль,school
education_school,47.909072,106.9076778,Сант,school
education_school,47.9242414,106.8689852,13-р сургууль,school
education_school,47.9252339,106.9116295,5-р Бүрэн Дунд Сургууль,school
education_school,47.9112846,106.9376796,Төгсдэлгэрэх дунд сургууль,school
education_school,47.9200528,106.8692296,93-р Сургууль,school
education_school,47.9208476,106.8881889,22-р сургуулийн талбай,school
education_school,47.9122009,106.8525446,Жаргалан дунд сургууль,school
education_school,47.9194559,106.8645003,78-р Сургууль,school
education_school,47.922247,106.9270749,Logarifm School,school
education_school,47.9123449,106.9264451,Shine uye,school
education_school,47.927096,106.9125095,Атланта дунд сургууль,school
education_school,47.9111903,106.9038683,Монгол-Оросын хамтарсан 3-р сургууль,school
education_school,47.9189563,106.8691545,54-р Сургууль,school
education_school,47.9108701,106.9383669,Шинэ Монгол ЕБС,school
education_school,47.9143815,106.928864,Sodon Chimee - Mongolian Language for Expats,school
education_school,47.9167651,106.8896845,Эхлэл дунд сургууль,school
education_school,47.9195161,106.8639283,Erdmiin Undraa Tsogtsolbor,school
education_school,47.9182797,106.8598665,,school
education_school,47.9298533,106.920274,Golden Book сургалтын төв,school
education_school,47.9161315,106.8661252,56-р сургууль,school
education_school,47.9238536,106.8695023,13-р сургууль,school
education_school,47.9242811,106.9486652,"""Эрдэм"" хөгжлийн төв",school
education_school,47.9187465,106.8854179,Орос гимнази,school
education_school,47.9245302,106.8753504,Гурван Тамир Дунд Сургууль,school
education_school,47.9127837,106.9297017,Selbe,school
education_school,47.921433,106.9798779,44-р сургууль,school
education_school,47.9100568,106.9926272,147-р сургууль,school
education_school,47.9163017,106.8853627,Эрдмийн-Ач,school
education_school,47.9273316,106.9860058,Газарчин их сургууль,school
education_school,47.9142695,106.9030775,45-р сургууль,school
education_school,47.920178,106.9493455,Орос 14-р сургууль,school
education_school,47.9289669,106.9189554,Биеийн тамирын сургууль,school
education_school,47.9174801,106.8854306,Мон-Гени цогцолбор сургууль,school
education_school,47.9140349,106.9099288,Монгол-Энэтхэгийн хамтарсан сургууль,school
education_school,47.9170408,106.8913853,Мандах Их Сургууль,school
education_school,47.9248031,106.9111495,5р дунд сургууль,school
education_school,47.9181635,106.8576964,Raduga Secondary School,school
education_school,47.9170158,106.8667128,43-р сургууль,school
education_school,47.9099069,106.8784977,"ЕБ-ын 38-р дунд сургууль,2-р байр",
education_school,47.9189869,106.8718167,77-р Сургууль,school
education_school,47.9253144,106.92209,ШУТИС Коосэн Технологийн Коллеж,school
education_school,47.9163536,106.9395192,84-р сургууль,school
education_school,47.9253939,106.864706,,school
education_school,47.9252371,106.9220354,koosen,school
education_school,47.9136051,106.8563587,Онол,school
education_school,47.9115206,106.9748341,Донбоско сургууль,school
education_school,47.9110041,106.939423,111-р сургууль,school
education_school,47.9005092,106.89524,18-р Сургууль,school
education_school,47.9145784,106.9168413,Study UK,school
education_school,47.9228355,106.9395917,33-р сургууль,school
education_school,47.9128199,106.9103116,Энх-орчлон хүү,school
education_school,47.9018547,106.9254661,Орчлон,school
education_school,47.9216531,106.9266978,Mongolian language school of forieghner,school
education_school,47.9140579,106.9101692,Мандах даатгал,
education_school,47.9042229,106.9446871,Edu Campus,school
education_school,47.917959,106.9022704,24-р сургууль,school
education_school,47.9112707,106.904871,Movie English,school
education_school,47.9092049,106.9080437,Сант сургууль 1,school
education_school,47.9172021,106.8859027,Мон-Гени цогцолбор сургууль,school
education_school,47.9100626,106.8939067,Orlenok school,school
education_school,47.9134506,107.0019081,27-р сургууль,school
education_school,47.9220346,106.9235153,Шинжлэх Ухаан Технологийн Их сургууль 1-р байр,school
education_school,47.9132365,106.8666317,Номун Далай Сургууль,school
education_school,47.9184533,106.925149,JET school of English,school
education_school,47.9205602,106.9253414,Шонхор олимп сургууль,school
education_school,47.9246145,106.8679359,,school
education_school,47.9185418,106.9009551,24-р сургууль,school
education_school,47.9096182,106.9092028,31-р сургууль,school
education_school,47.9249348,106.8652177,133-р сургууль,school
education_school,47.9261134,106.883565,Хүрээ Дээд Сургууль,school
education_school,47.9225894,106.9392697,,school
education_school,47.9197292,106.8657481,Лаборатори 93-р сургууль,school
education_school,47.9261804,106.8664076,113-р сургууль,school
education_school,47.9155163,106.9693685,14-р сургууль,school
education_school,47.911794,106.9029615,,school
education_school,47.9261134,106.883565,Хүрээ Дээд Сургууль,school
education_school,47.9113067,106.9088614,Цэцэрлэг,school
education_school,47.9044614,106.9441366,,school
education_school,47.9252498,106.9219825,ШУТИС Коосэн сургууль,school
education_school,47.9143292,106.9739561,LEI,school
education_school,47.9196011,106.980027,53-р сургууль,school
education_school,47.9208991,106.961207,"69-р сургууль, Шавь цогцолбор сургууь, Бага сургууль",school
education_school,47.9201545,106.9283356,Үй-Цай дунд сургууль,school
education_school,47.9237412,106.9184691,МУИС хичээлийн 3-р байр,school
education_school,47.9237962,106.9294554,Сэлбэ сургууль,school
education_school,47.9259573,106.920594,Mongolian Language Center (MLC),language_school
education_school,47.9185555,106.9402024,"""Амжилтын гүүр"" хятад хэлний сургалтын төв",school
education_school,47.9260651,106.9206715,Talk Talk English,school
education_school,47.913574,106.9027636,45р сургууль,school
education_school,47.9264417,106.9219022,Соёл урлагын их сургууль 5-р байр,school
education_school,47.9214167,106.8782728,47р сургууль,school
education_school,47.9226568,106.8885794,Oyunii nakhia Highland Elementary School,school
education_school,47.9091515,106.9075809,,school
education_school,47.9174487,106.8844589,Мон-Гени цогцолбор сургууль,school
education_school,47.9168756,106.8903234,Galaxy,school
education_school,47.9281101,106.948064,UB - MK сургууль,school
multipolygon,47.9103552,106.8781907,Schulgelände,school
